ts,event,ticker,side,rating,price,atr,align,reason,option_symbol,expiration,dte,strike,opt_type,bid,ask,mid,spread_pct,delta,theta,mid_iv,open_interest,volume,breakeven_move,gates,score,rejected,sig_ticker,sig_side,sig_rating,sig_align
2026-07-17T10:45:00,signal,SPY,SELL,-7,745.88,1.2228,RIDE_both,,,,,,,,,,,,,,,,,,,,,,,
2026-07-17T10:45:02,candidate,,,,,,,,SPY260717P00745000,2026-07-17,0,745.0,put,1.04,1.04,1.04,0.0,0.523,-1.1311,0.2349,28266,82683,1.92,spread=P;open_interest=P;volume=P;iv=P;breakeven=F,-1.0,breakeven,SPY,SELL,-7,RIDE_both
2026-07-17T10:45:02,candidate,,,,,,,,SPY260717P00746000,2026-07-17,0,746.0,put,1.38,1.39,1.385,0.0072,0.61,-0.8102,0.2302,13102,68189,1.265,spread=P;open_interest=P;volume=P;iv=P;breakeven=P,0.6299,,SPY,SELL,-7,RIDE_both
2026-07-17T10:45:02,candidate,,,,,,,,SPY260717P00747000,2026-07-17,0,747.0,put,1.81,1.82,1.815,0.0055,0.691,-0.5737,0.226,13540,33808,0.695,spread=P;open_interest=P;volume=P;iv=P;breakeven=P,0.6748,,SPY,SELL,-7,RIDE_both
2026-07-17T10:45:02,candidate,,,,,,,,SPY260717P00748000,2026-07-17,0,748.0,put,2.33,2.34,2.335,0.0043,0.76,-0.4063,0.224,21605,13211,0.215,spread=P;open_interest=P;volume=P;iv=P;breakeven=P,0.6599,,SPY,SELL,-7,RIDE_both
2026-07-17T10:49:59,signal,QQQ,SELL,-7,696.04,2.2534,RIDE_both,,,,,,,,,,,,,,,,,,,,,,,
2026-07-17T10:50:00,candidate,,,,,,,,QQQ260717P00694000,2026-07-17,0,694.0,put,1.91,1.93,1.92,0.0104,0.545,-1.5903,0.4096,5203,24509,3.96,spread=P;open_interest=P;volume=P;iv=F;breakeven=F,-1.0,iv,QQQ,SELL,-7,RIDE_both
2026-07-17T10:50:00,candidate,,,,,,,,QQQ260717P00695000,2026-07-17,0,695.0,put,2.27,2.29,2.28,0.0088,0.599,-1.2952,0.4033,32679,67164,3.32,spread=P;open_interest=P;volume=P;iv=F;breakeven=F,-1.0,iv,QQQ,SELL,-7,RIDE_both
2026-07-17T10:50:00,candidate,,,,,,,,QQQ260717P00696000,2026-07-17,0,696.0,put,2.68,2.69,2.685,0.0037,0.65,-1.0544,0.3972,4790,41780,2.725,spread=P;open_interest=P;volume=P;iv=P;breakeven=F,-1.0,breakeven,QQQ,SELL,-7,RIDE_both
2026-07-17T10:50:00,candidate,,,,,,,,QQQ260717P00697000,2026-07-17,0,697.0,put,3.15,3.19,3.17,0.0126,0.697,-0.854,0.3929,4600,33171,2.21,spread=P;open_interest=P;volume=P;iv=P;breakeven=P,0.6236,,QQQ,SELL,-7,RIDE_both
2026-07-17T10:50:00,candidate,,,,,,,,QQQ260717P00698000,2026-07-17,0,698.0,put,3.73,3.76,3.745,0.008,0.741,-0.6909,0.3881,4202,21915,1.785,spread=P;open_interest=P;volume=P;iv=P;breakeven=P,0.6215,,QQQ,SELL,-7,RIDE_both
2026-07-17T10:50:00,candidate,,,,,,,,QQQ260717P00699000,2026-07-17,0,699.0,put,4.33,4.37,4.35,0.0092,0.779,-0.5568,0.3838,3886,5119,1.39,spread=P;open_interest=P;volume=P;iv=P;breakeven=P,0.6209,,QQQ,SELL,-7,RIDE_both
2026-07-17T13:44:58,signal,SPY,SELL,-3,745.6,0.815,RIDE_both,,,,,,,,,,,,,,,,,,,,,,,
2026-07-17T13:44:58,no_trade,SPY,,,,,,rating -3 below min 5 — Scout entries not taken in options,,,,,,,,,,,,,,,,,,,,,,
2026-07-17T15:59:59,signal,SPY,SELL,-7,743.23,0.8076,RIDE_both,,,,,,,,,,,,,,,,,,,,,,,
2026-07-17T16:00:00,no_trade,SPY,,,,,,no contract passed gates (see decision log),,,,,,,,,,,,,,,,,,,,,,
